trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
197,False,"{'a': 0.15, 'e': 1.0}",30,12,-159.02488594167542,"{0: 9, 1: 0, 2: 4, 3: 3, 4: 2}",1
198,False,"{'a': 0.15, 'e': 1.0}",20,0,-87.29988486286591,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
199,False,"{'a': 0.15, 'e': 1.0}",25,0,-147.92565949534276,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
200,False,"{'a': 0.15, 'e': 1.0}",20,0,-111.20934782531498,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
201,False,"{'a': 0.15, 'e': 1.0}",20,0,6.069420520367279,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
202,False,"{'a': 0.15, 'e': 1.0}",30,0,-165.86165389573543,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
203,False,"{'a': 0.15, 'e': 1.0}",20,0,-202.64436138240146,"{0: 7, 1: 2, 2: 6, 3: 3, 4: 2}",0
204,False,"{'a': 0.15, 'e': 1.0}",30,0,-158.09534256022494,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
205,False,"{'a': 0.15, 'e': 1.0}",20,0,-94.78379306898019,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
206,False,"{'a': 0.15, 'e': 1.0}",20,0,-138.02232018135888,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
207,False,"{'a': 0.15, 'e': 1.0}",30,0,-295.900077214028,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 5}",0
208,False,"{'a': 0.15, 'e': 1.0}",25,0,-179.304056014331,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
209,False,"{'a': 0.15, 'e': 1.0}",25,11,-59.3778566009897,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 0}",1
210,False,"{'a': 0.15, 'e': 1.0}",20,0,-113.88303326985175,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
211,False,"{'a': 0.15, 'e': 1.0}",25,0,-88.94531425627439,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
212,False,"{'a': 0.15, 'e': 1.0}",20,0,-153.5863602064705,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
213,False,"{'a': 0.15, 'e': 1.0}",25,0,-105.43202245608452,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
214,False,"{'a': 0.15, 'e': 1.0}",20,0,-79.61238818771231,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
215,False,"{'a': 0.15, 'e': 1.0}",20,0,-98.96971528195813,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
216,False,"{'a': 0.15, 'e': 1.0}",20,0,-72.44395546812544,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
217,False,"{'a': 0.15, 'e': 1.0}",30,8,-81.50845589254793,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
218,False,"{'a': 0.15, 'e': 1.0}",25,0,-95.93801676983927,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
219,False,"{'a': 0.15, 'e': 1.0}",20,0,-58.326273357816255,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
220,False,"{'a': 0.15, 'e': 1.0}",25,0,-137.19964541224655,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
221,False,"{'a': 0.15, 'e': 1.0}",25,0,-65.50694502993284,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
222,False,"{'a': 0.15, 'e': 1.0}",20,0,-51.29476983137941,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
223,False,"{'a': 0.15, 'e': 1.0}",30,0,-153.67995931883132,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
224,False,"{'a': 0.15, 'e': 1.0}",30,0,-247.0605085675645,"{0: 13, 1: 3, 2: 9, 3: 2, 4: 3}",0
225,False,"{'a': 0.15, 'e': 1.0}",20,0,-119.99317476720627,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
226,False,"{'a': 0.15, 'e': 1.0}",30,0,-281.9050366714477,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 6}",0
227,False,"{'a': 0.15, 'e': 1.0}",20,0,-245.32544045636757,"{0: 7, 1: 1, 2: 7, 3: 1, 4: 4}",0
228,False,"{'a': 0.15, 'e': 1.0}",20,0,-41.00479549573781,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
229,False,"{'a': 0.15, 'e': 1.0}",25,13,-26.910163586524725,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
230,False,"{'a': 0.15, 'e': 1.0}",25,0,-139.36938556257365,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
231,False,"{'a': 0.15, 'e': 1.0}",20,0,-139.48094833289318,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
232,False,"{'a': 0.15, 'e': 1.0}",25,0,-115.86876896474723,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
233,False,"{'a': 0.15, 'e': 1.0}",25,0,-112.13001856379651,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
234,False,"{'a': 0.15, 'e': 1.0}",20,0,-100.7664573652013,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
235,False,"{'a': 0.15, 'e': 1.0}",20,0,-97.78592303921079,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
236,False,"{'a': 0.15, 'e': 1.0}",20,1,-159.06173754759956,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 3}",1
237,False,"{'a': 0.15, 'e': 1.0}",20,0,-62.87414852513625,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
238,False,"{'a': 0.15, 'e': 1.0}",25,8,-32.63573476390699,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
239,False,"{'a': 0.15, 'e': 1.0}",25,0,-152.16258994095324,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
240,False,"{'a': 0.15, 'e': 1.0}",25,0,-100.70721783993153,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
241,False,"{'a': 0.15, 'e': 1.0}",35,0,-241.31337116967688,"{0: 17, 1: 6, 2: 5, 3: 5, 4: 2}",0
242,False,"{'a': 0.15, 'e': 1.0}",30,0,-169.33259291998837,"{0: 15, 1: 7, 2: 5, 3: 1, 4: 2}",0
243,False,"{'a': 0.15, 'e': 1.0}",20,0,-188.1889320439828,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
244,False,"{'a': 0.15, 'e': 1.0}",30,0,-66.63931720888789,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
245,False,"{'a': 0.15, 'e': 1.0}",25,0,-162.71432488300053,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
246,False,"{'a': 0.15, 'e': 1.0}",35,0,-303.30657021535507,"{0: 16, 1: 2, 2: 11, 3: 2, 4: 4}",0
247,False,"{'a': 0.15, 'e': 1.0}",30,0,-145.6806176836137,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
248,False,"{'a': 0.15, 'e': 1.0}",20,0,-197.98439194639693,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",1
249,False,"{'a': 0.15, 'e': 1.0}",20,0,-136.40349515538975,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
250,False,"{'a': 0.15, 'e': 1.0}",30,0,-22.08800378125883,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
251,False,"{'a': 0.15, 'e': 1.0}",25,4,-68.32022471451415,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
252,False,"{'a': 0.15, 'e': 1.0}",30,0,-133.4855291017838,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
253,False,"{'a': 0.15, 'e': 1.0}",20,0,-145.38707274184327,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
254,False,"{'a': 0.15, 'e': 1.0}",30,0,-120.4903846366266,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
255,False,"{'a': 0.15, 'e': 1.0}",25,0,-159.40861465177954,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
256,False,"{'a': 0.15, 'e': 1.0}",20,7,-57.995219494379946,"{0: 6, 1: 0, 2: 7, 3: 0, 4: 0}",1
257,False,"{'a': 0.15, 'e': 1.0}",20,0,-220.47024269777089,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
258,False,"{'a': 0.15, 'e': 1.0}",20,0,-133.80380444977706,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
259,False,"{'a': 0.15, 'e': 1.0}",20,0,-59.35598249042198,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
260,False,"{'a': 0.15, 'e': 1.0}",20,0,-87.00827208786792,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
261,False,"{'a': 0.15, 'e': 1.0}",25,0,-108.69139571134774,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
262,False,"{'a': 0.15, 'e': 1.0}",25,0,-126.99831149359508,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
263,False,"{'a': 0.15, 'e': 1.0}",25,1,-120.4188751634897,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 2}",1
264,False,"{'a': 0.15, 'e': 1.0}",25,0,-37.94241752697113,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
265,False,"{'a': 0.15, 'e': 1.0}",25,0,-6.568086687913108,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
266,False,"{'a': 0.15, 'e': 1.0}",20,0,-64.42352027756701,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
267,False,"{'a': 0.15, 'e': 1.0}",25,0,-144.6228105525026,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
268,False,"{'a': 0.15, 'e': 1.0}",25,0,-98.85337584053936,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
269,False,"{'a': 0.15, 'e': 1.0}",25,0,-120.13637826118133,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
270,False,"{'a': 0.15, 'e': 1.0}",35,0,-210.2355203321626,"{0: 16, 1: 4, 2: 13, 3: 0, 4: 2}",0
271,False,"{'a': 0.15, 'e': 1.0}",20,0,-46.10993226480656,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
272,False,"{'a': 0.15, 'e': 1.0}",25,0,-155.76199301664292,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
273,False,"{'a': 0.15, 'e': 1.0}",25,0,-143.23472789929292,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
274,False,"{'a': 0.15, 'e': 1.0}",20,0,-49.15815159768378,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
275,False,"{'a': 0.15, 'e': 1.0}",20,0,-71.39180055035492,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
276,False,"{'a': 0.15, 'e': 1.0}",20,0,-181.55750488625475,"{0: 7, 1: 2, 2: 6, 3: 4, 4: 1}",0
277,False,"{'a': 0.15, 'e': 1.0}",25,0,-188.74545690981714,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
278,False,"{'a': 0.15, 'e': 1.0}",30,0,-144.07198985279277,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
279,False,"{'a': 0.15, 'e': 1.0}",20,0,-48.58654143043144,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
280,False,"{'a': 0.15, 'e': 1.0}",30,0,-150.67717953302525,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
